"filename", "language", "JSON", "JavaScript", "Dotenv", "XML", "HTML", "Python", "JavaScript JSX", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\farmer\css\Marketplace.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 526, 0, 51, 534, 1111
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\farmer\css\OrdersLogistics.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 256, 0, 18, 257, 531
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\farmer\css\Payments.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 129, 0, 12, 130, 271
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\farmer\css\WarehouseInventory.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 261, 0, 15, 258, 534
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logisticsAdmin\AssignedOrders.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 11, 118
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logisticsAdmin\DeliveryHistory.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 16, 145
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logisticsAdmin\DriverManagement.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 9, 132
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logisticsAdmin\IncomingRequests.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 12, 125
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logisticsAdmin\LogisticsAdminDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 8, 96
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logisticsAdmin\RegisterDriver.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 26, 194
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logisticsAdmin\ShipmentMonitoring.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 9, 66
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logisticsAdmin\css\AssignedOrders.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 149, 0, 21, 154, 324
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logisticsAdmin\css\DeliveryHistory.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 214, 0, 27, 221, 462
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logisticsAdmin\css\DriverManagement.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 266, 0, 27, 272, 565
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logisticsAdmin\css\IncomingRequests.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 240, 0, 30, 246, 516
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logisticsAdmin\css\LogisticsAdminDashboard.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 65, 0, 3, 13, 81
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logisticsAdmin\css\RegisterDriver.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 90, 0, 3, 17, 110
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logisticsAdmin\css\ShipmentMonitoring.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 98, 0, 4, 17, 119
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logistics\AssignedDeliveries.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 11, 105
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logistics\DeliveryStatus.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 16, 131
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logistics\DriverProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 10, 100
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logistics\Earnings.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 15, 132
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logistics\LogisticsDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 8, 72
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logistics\css\AssignedDeliveries.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 293, 0, 42, 305, 640
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logistics\css\DeliveryStatus.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 252, 0, 39, 263, 554
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logistics\css\DriverProfile.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 217, 0, 27, 225, 469
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logistics\css\Earnings.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 206, 0, 33, 213, 452
"c:\Users\USER\Desktop\AgriNexus\client\src\pages\logistics\css\LogisticsDashboard.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 164, 0, 21, 170, 355
"c:\Users\USER\Desktop\AgriNexus\client\src\routes\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 7, 25
"c:\Users\USER\Desktop\AgriNexus\client\src\routes\PublicRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 7, 25
"c:\Users\USER\Desktop\AgriNexus\client\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\USER\Desktop\AgriNexus\ml-service\app.py", "Python", 0, 0, 0, 0, 0, 188, 0, 0, 0, 27, 43, 258
"c:\Users\USER\Desktop\AgriNexus\ml-service\disease_classes.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\USER\Desktop\AgriNexus\ml-service\fertilizer_options.json", "JSON", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42
"c:\Users\USER\Desktop\AgriNexus\ml-service\fertilizer_remarks.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\USER\Desktop\AgriNexus\public\favicon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\USER\Desktop\AgriNexus\public\icons.svg", "XML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\USER\Desktop\AgriNexus\server\.env", "Dotenv", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\USER\Desktop\AgriNexus\server\package-lock.json", "JSON", 1644, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1645
"c:\Users\USER\Desktop\AgriNexus\server\package.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\USER\Desktop\AgriNexus\server\server.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 17, 48
"c:\Users\USER\Desktop\AgriNexus\server\src\config\db.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\USER\Desktop\AgriNexus\server\src\controllers\adminController.js", "JavaScript", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 11, 130
"c:\Users\USER\Desktop\AgriNexus\server\src\controllers\authController.js", "JavaScript", 0, 147, 0, 0, 0, 0, 0, 0, 0, 1, 23, 171
"c:\Users\USER\Desktop\AgriNexus\server\src\controllers\buyerController.js", "JavaScript", 0, 121, 0, 0, 0, 0, 0, 0, 0, 2, 11, 134
"c:\Users\USER\Desktop\AgriNexus\server\src\controllers\deliveryController.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 11, 128
